Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales_Mil,Critic_Score,Developer,Rating
Wii Sports,Wii,2006,Sports,Nintendo,82.53,76,Nintendo,E
Super Mario Bros.,NES,1985,Platform,Nintendo,40.24,,,
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.52,82,Nintendo,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,32.77,80,Nintendo,E
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,31.37,,,
Tetris,GB,1989,Puzzle,Nintendo,30.26,,,
New Super Mario Bros.,DS,2006,Platform,Nintendo,29.8,89,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,28.92,58,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.32,87,Nintendo,E
Duck Hunt,NES,1984,Shooter,Nintendo,28.31,,,
Nintendogs,DS,2005,Simulation,Nintendo,24.67,,,
Mario Kart DS,DS,2005,Racing,Nintendo,23.21,91,Nintendo,E
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,23.1,,,
Wii Fit,Wii,2007,Sports,Nintendo,22.7,80,Nintendo,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81,61,Good Science Studio,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,21.79,80,Nintendo,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,95,Rockstar North,M
Super Mario World,SNES,1990,Platform,Nintendo,20.61,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.15,77,Nintendo,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,18.25,,,
Super Mario Land,GB,1989,Platform,Nintendo,18.14,,,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,17.28,,,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15,95,Rockstar North,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,15.85,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15.29,77,Nintendo,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,15.14,,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98,95,Polyphony Digital,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73,88,"Infinity Ward, Sledgehammer Games",M
Pok̩mon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,14.64,,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,14.63,,,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.61,87,Treyarch,M
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,14.6,,,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,13.79,83,Treyarch,M
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67,83,Treyarch,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13.47,94,Infinity Ward,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13.32,88,"Infinity Ward, Sledgehammer Games",M
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1,97,DMA Design,M
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,12.84,93,Game Arts,T
Mario Kart 7,3DS,2011,Racing,Nintendo,12.66,85,"Retro Studios, Entertainment Analysis & Development Division",E
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.63,88,Treyarch,M
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97,Rockstar North,M
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12.13,86,Nintendo,E
Halo 3,X360,2007,Shooter,Microsoft Game Studios,12.12,94,"Bungie Software, Bungie",M
Super Mario 64,N64,1996,Platform,Nintendo,11.89,,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,11.77,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,11.68,,,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66,89,Polyphony Digital,E
Super Mario Galaxy,Wii,2007,Platform,Nintendo,11.35,97,Nintendo,E
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,11.18,,,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.01,98,Rockstar North,M
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10.95,96,Polyphony Digital,E
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81,90,Nintendo,E
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84,Polyphony Digital,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,10.6,94,Infinity Ward,M
Super Mario All-Stars,SNES,1993,Platform,Nintendo,10.55,,,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10.5,98,Rockstar North,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,10.49,,,
Super Mario 64,DS,2004,Platform,Nintendo,10.3,,,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,Infinity Ward,M
Just Dance 3,Wii,2011,Misc,Ubisoft,10.12,74,Ubisoft,E10+
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,Nintendo,E
Mario Kart 64,N64,1996,Racing,Nintendo,9.87,,,
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.86,91,Bungie,M
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,9.72,92,SquareSoft,T
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,343 Industries,M
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,9.49,93,Polyphony Digital,T
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,74,Ubisoft,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,9.36,71,Infinity Ward,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,9.31,94,Infinity Ward,M
Donkey Kong Country,SNES,1994,Platform,Nintendo,9.3,,,
Minecraft,X360,2013,Misc,Microsoft Game Studios,9.18,,,
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,Nintendo,E
Mario Party DS,DS,2007,Misc,Nintendo,8.91,72,Hudson Soft,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.79,96,Bethesda Game Studios,M
Super Mario Kart,SNES,1992,Racing,Nintendo,8.76,,,
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82,EA Sports,E
Halo 2,XB,2004,Shooter,Microsoft Game Studios,8.49,95,Bungie Software,M
Wii Party,Wii,2010,Misc,Nintendo,8.38,68,Nd Cube,E
Mario Party 8,Wii,2007,Misc,Nintendo,8.27,62,Hudson,E
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.16,88,Electronic Arts,E
GoldenEye 007,N64,1997,Shooter,Nintendo,8.09,,,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,8.07,,,
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,8.05,92,SquareSoft,T
The Sims 3,PC,2009,Simulation,Electronic Arts,8.01,86,The Sims Studio,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,7.99,,,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,7.98,,,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,7.86,90,SquareSoft,T
Pac-Man,2600,1982,Puzzle,Atari,7.81,,,
Pok̩mon Platinum Version,DS,2008,Role-Playing,Nintendo,7.72,83,Game Freak,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,7.69,88,Rockstar Leeds,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.66,83,Sledgehammer Games,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,7.6,,,
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,85,"EA Sports, EA Vancouver",E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,7.58,,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,7.55,,,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.51,97,Nintendo EAD Tokyo,E
Super Mario Bros. 2,NES,1988,Platform,Nintendo,7.46,,,
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,7.39,,,
Call of Duty: World at War,X360,2008,Shooter,Activision,7.38,84,Treyarch,M
Battlefield 3,X360,2011,Shooter,Electronic Arts,7.32,84,EA DICE,M
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,7.2,85,EA Black Box,E
Just Dance,Wii,2009,Misc,Ubisoft,7.2,49,Ubisoft Paris,E10+
Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.17,85,EA DICE,M
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87,Bethesda Game Studios,M
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,7.16,96,Namco,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,7.15,95,Nintendo,T
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,7.14,,,
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,7.13,91,Naughty Dog,E
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,Nintendo,E
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,7.07,92,HAL Labs,T
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,6.95,,,
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,6.9,82,EA Canada,E
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,6.83,88,EA LA,T
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,6.82,,,
Just Dance 4,Wii,2012,Misc,Ubisoft,6.76,74,Ubisoft,E10+
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,6.75,93,Epic Games,M
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.74,92,Naughty Dog,T
Zumba Fitness,Wii,2010,Sports,505 Games,6.71,,"Pipeworks Software, Inc.",E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,6.68,94,Infinity Ward,M
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,6.66,96,Naughty Dog,T
FIFA 12,PS3,2011,Sports,Electronic Arts,6.65,,,
Big Brain Academy,DS,2005,Misc,Nintendo,6.62,74,Nintendo,E
The Legend of Zelda,NES,1986,Action,Nintendo,6.51,,,
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49,95,Rockstar San Diego,M
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,EA Canada,E
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,Ubisoft,M
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.44,87,Retro Studios,E
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,6.43,97,Bungie Software,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,6.41,92,Bethesda Game Studios,M
Pok̩mon Emerald Version,GBA,2004,Role-Playing,Nintendo,6.41,76,Game Freak,E
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,6.4,85,SquareSoft,E
Pok̩mon Crystal Version,GB,2000,Role-Playing,Nintendo,6.39,,,
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,6.34,83,"Bungie Software, Bungie",M
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32,95,Rockstar San Diego,M
Super Mario Sunshine,GC,2002,Platform,Nintendo,6.31,92,Nintendo,E
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,6.3,,,
World of Warcraft,PC,2004,Role-Playing,Activision,6.29,93,Blizzard Entertainment,T
Driver,PS,1999,Action,GT Interactive,6.27,87,Reflections Interactive,T
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21,91,Epic Games,M
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73,Rare Ltd.,E10+
Gears of War,X360,2006,Shooter,Microsoft Game Studios,6.09,94,Epic Games,M
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,EA Sports,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,6.05,96,KCEJ,M
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,6.03,,,
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,6.03,94,KCEJ,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,5.99,94,Kojima Productions,M
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,5.95,92,Square Enix,T
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,Naughty Dog,M
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,5.82,95,"SCE/WWS, Media Molecule",E
Resident Evil 2,PS,1998,Action,Virgin Interactive,5.82,89,Capcom,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,5.78,87,Level 5,E10+
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,5.74,89,Namco,T
Destiny,PS4,2014,Shooter,Activision,5.64,76,"Bungie Software, Bungie",T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,5.64,80,Traveller's Tales,E10+
Cooking Mama,DS,2006,Simulation,505 Games,5.63,67,Taito Corporation,E
Tetris,NES,1988,Puzzle,Nintendo,5.58,,,
Super Smash Bros.,N64,1999,Fighting,Nintendo,5.55,,,
Assassin's Creed II,PS3,2009,Action,Ubisoft,5.55,91,Ubisoft Montreal,M
Assassin's Creed,X360,2007,Adventure,Ubisoft,5.54,81,Ubisoft Montreal,M
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,5.49,92,Turn 10,E
Super Mario Advance,GBA,2001,Platform,Nintendo,5.49,84,Nintendo,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,5.48,81,Capcom,T
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96,Rocksteady Studios,T
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,5.48,97,Rockstar North,M
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,5.47,93,Intelligent Systems,E
Super Mario World,GBA,2001,Platform,Nintendo,5.46,,,
Pokemon Stadium,N64,1999,Strategy,Nintendo,5.45,,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,5.42,66,Traveller's Tales,E
Call of Duty: World at War,PS3,2008,Shooter,Activision,5.39,85,Treyarch,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,Naughty Dog,T
Dr. Mario,GB,1989,Puzzle,Nintendo,5.34,,,
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,5.33,83,Square Enix,T
Pokemon Pinball,GB,1999,Misc,Nintendo,5.31,,,
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,5.3,94,SquareSoft,T
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,Ubisoft,M
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,5.29,85,SquareSoft,T
Donkey Kong 64,N64,1999,Platform,Nintendo,5.27,,,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,Sledgehammer Games,M
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,5.26,,,
Assassin's Creed II,X360,2009,Action,Ubisoft,5.26,90,Ubisoft Montreal,M
Tomb Raider II,PS,1997,Action,Eidos Interactive,5.24,85,Core Design Ltd.,T
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,5.23,94,EA Tiburon,E
Tomodachi Life,3DS,2013,Simulation,Nintendo,5.23,,,
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,Nintendo,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,5.21,89,Level 5,T
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,5.2,,,
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,5.19,85,Level 5,E
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,5.19,,,
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,Electronic Arts,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,5.15,,,
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,Blizzard Entertainment,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,5.13,68,EA LA,T
Kirby's Dream Land,GB,1992,Platform,Nintendo,5.13,,,
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,5.12,,,
Guitar Hero II,PS2,2006,Misc,RedOctane,5.12,92,Harmonix Music Systems,T
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80,Lionhead Studios,M
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,5.09,,,
Resident Evil 5,PS3,2009,Action,Capcom,5.09,84,Capcom,M
